
MAME GP2X GAMELIST (1204 romsets)

Name      Description
ringking  "Ring King (set 1)"
ringkin2  "Ring King (set 2)"
riotcity  "Riot City"
ripcord   "Rip Cord"
rpatrolb  "River Patrol (bootleg)"
roadblst  "Road Blasters"
roadf     "Road Fighter (set 1)"
roadf2    "Road Fighter (set 2)"
roadrunn  "Road Runner"
robby     "Robby Roto"
ararmy    "Robo Army"
robocopp  "Robocop (bootleg)"
robotbwl  "Robot Bowl"
robotron  "Robotron (Solid Blue label)"
robotryo  "Robotron (Yellow/Orange label)"
rocnrope  "Roc'n Rope"
rockmanj  "Rockman - The Power Battle (Japan)"
rodlandj  "RodLand (Japan)"
rollingc  "Rolling Crash / Moon Base"
rthunder  "Rolling Thunder"
ropeman   "Rope Man"
roundup   "Round-Up"
route16   "Route 16"
rushatck  "Rush'n Attack"
rygarj    "Rygar (Japan)"
rygar     "Rygar (US set 1)"
rygar2    "Rygar (US set 2)"
safari    "Safari"
salamand  "Salamander"
samsho    "Samurai Shodown / Samurai Spirits"
samsho2   "Samurai Shodown 2 / Samurai Spirits 2"
samsho3   "Samurai Shodown 3 / Samurai Spirits 3"
samsho4   "Samurai Shodown 4 / Samurai Spirits 4"
samurai   "Samurai"
sarge     "Sarge"
sasuke    "Sasuke vs. Commander"
satansat  "Satan of Saturn"
shollow   "Satan's Hollow"
sauro     "Sauro"
savgbees  "Savage Bees"
savagere  "Savage Reign"
scionc    "Scion (Cinematronics)"
scion     "Scion"
scramble  "Scramble"
scregg    "Scrambled Egg"
sdi       "SDI - Strategic Defense Initiative"
sfposeid  "Sea Fighter Poseidon"
seawolf2  "Sea Wolf II"
seawolf   "Sea Wolf"
sectionz  "Section Z"
seganinu  "Sega Ninja (not encrypted)"
seganinj  "Sega Ninja"
sspaceat  "Sega Space Attack"
seicross  "Seicross"
myheroj   "Seishun Scandal"
sengoku2  "Sengoku 2"
sengoku   "Sengoku"
mercsj    "Senjo no Ookami II (Japan)"
mercsu    "Senjo no Ookami II (US)"
commandj  "Senjo no Ookami"
shackled  "Shackled"
shdancer  "Shadow Dancer (US)"
shdancrj  "Shadow Dancer (Japan)"
shdancbl  "Shadow Dancer (bootleg)"
shadoww   "Shadow Warriors"
shaolins  "Shao-Lin's Road"
sharkatt  "Shark Attack"
mikiej    "Shinnyuushain Tooru-kun"
shinobi   "Shinobi (set 1)"
shinobia  "Shinobi (set 2)"
shinobl   "Shinobi (bootleg)"
shisen    "Shisensho - Joshiryo-Hen (Japan)"
shocktro  "Shock Troopers"
shootout  "Shoot Out"
sichuan2  "Sichuan II (hack?)"
sidepckt  "Side Pocket"
sidetrac  "Side Track"
sidearjp  "Sidearms (Japan)"
sidearmr  "Sidearms (US)"
sidearms  "Sidearms (World)"
silkworm  "Silkworm (set 1)"
silkwrm2  "Silkworm (set 2)"
silvland  "Silver Land"
sinista1  "Sinistar (prototype version)"
sinista2  "Sinistar (revision 2)"
sinistar  "Sinistar (revision 3)"
skylancr  "Sky Lancer"
slammast  "Slam Masters (World)"
slapbtuk  "Slap Fight (English bootleg)"
slapbtjp  "Slap Fight (Japanese bootleg)"
slapfigh  "Slap Fight"
slyspy2   "Sly Spy (revision 2)"
slyspy    "Sly Spy (revision 3)"
smashtv5  "Smash TV (rev 5.00)"
smashtv   "Smash TV (rev 8.00)"
snapjack  "Snap Jack"
snowbros  "Snow Bros (set 1)"
snowbro2  "Snow Bros (set 2)"
socbrawl  "Soccer Brawl"
solarfox  "Solar Fox"
solarwar  "Solar Warrior"
solomon   "Solomon's Key (Japan)"
sonson    "Son Son"
spaceatt  "Space Attack II"
schaser   "Space Chaser"
spacduel  "Space Duel"
sdungeon  "Space Dungeon"
spcenctr  "Space Encounters"
sfeverbw  "Space Fever (B&W)"
spacefev  "Space Fever"
spacefb   "Space Firebird"
spacfura  "Space Fury (revision A)"
spacfury  "Space Fury (revision C)"
sharrier  "Space Harrier"
galap1    "Space Invaders Galactica"
invdelux  "Space Invaders Part II (Midway)"
invadpt2  "Space Invaders Part II (Taito)"
invaders  "Space Invaders"
spaceod   "Space Odyssey"
panicger  "Space Panic (German)"
panic     "Space Panic (set 1)"
panica    "Space Panic (set 2)"
spaceph   "Space Phantoms"
spaceplt  "Space Pilot"
spaceskr  "Space Seeker"
stactics  "Space Tactics"
sptrekct  "Space Trek (Cocktail)"
spacetrk  "Space Trek (Upright)"
spacezap  "Space Zap"
speakres  "Speak & Rescue"
spectar1  "Spectar (revision 1?)"
spectar   "Spectar (revision 3)"
speedbal  "Speed Ball"
srumbler  "Speed Rumbler (set 1)"
srumblr2  "Speed Rumbler (set 2)"
spelunk2  "Spelunker II"
spiders   "Spiders"
spinmast  "Spinmaster / Miracle Adventure"
splat     "Splat"
sprint1   "Sprint 1"
sprint2   "Sprint 2"
spyhunt   "Spy Hunter"
stakwin   "Stakes Winner"
starforc  "Star Force"
starjack  "Star Jacker (Sega)"
starjacs  "Star Jacker (Stern)"
startrek  "Star Trek"
starwars  "Star Wars"
starfire  "Starfire"
stargate  "Stargate"
stinger   "Stinger"
stoneage  "Stoneage"
stratgyx  "Strategy X"
stratvox  "Stratovox"
sf1jp     "Street Fighter (Japan)"
sf1us     "Street Fighter (US)"
sf1       "Street Fighter (World)"
sf2j      "Street Fighter 2 (Japan)"
sf2       "Street Fighter 2 (World)"
sf2a      "Street Fighter II (US rev A)"
sf2b      "Street Fighter II (US rev B)"
sf2e      "Street Fighter II (US rev E)"
sf2cej    "Street Fighter II - Champion Edition (Japan)"
sf2tj     "Street Fighter II Turbo (Japan)"
sf2ce     "Street Fighter II' - Champion Edition (World)"
sf2t      "Street Fighter II' - Hyper Fighting (US)"
strhoops  "Street Hoop / Street Slam / Dunk Dream"
striderj  "Strider (Japan)"
strider   "Strider (US)"
strkforc  "Strike Force (rev 1 02/25/91)"
stratgyb  "Strong X"
subs      "Subs"
sbagmans  "Super Bagman (Stern)"
sbagman   "Super Bagman"
sbasketb  "Super Basketball"
sboblbob  "Super Bobble Bobble"
superbon  "Super Bond"
sbrkout   "Super Breakout"
sucasino  "Super Casino"
scobrak   "Super Cobra (Konami)"
scobra    "Super Cobra (Stern)"
scobrab   "Super Cobra (bootleg)"
earthinv  "Super Earth Invasion"
superg    "Super Galaxians"
shangon   "Super Hang-On"
shangonb  "Super Hang-On (bootleg)"
shimpact  "Super High Impact (rev LA1 09/30/91)"
sinvemag  "Super Invaders"
suprmatk  "Super Missile Attack"
suprmous  "Super Mouse"
superpac  "Super Pac-Man (Midway)"
superpcn  "Super Pac-Man (Namco)"
spang     "Super Pang (World)"
spiero    "Super Pierrot (Japan)"
spnchout  "Super Punch Out"
sqixbl    "Super Qix (bootleg)"
superqix  "Super Qix"
srdarwin  "Super Real Darwin"
ssideki2  "Super Sidekicks 2"
sskick3   "Super Sidekicks 3 - The Next Glory"
sidkicks  "Super Sidekicks"
ssi       "Super Space Invaders '91"
ssprint   "Super Sprint"
superspy  "Super Spy"
sxevious  "Super Xevious"
szaxxon   "Super Zaxxon"
superman  "Superman"
swat      "SWAT"
swimmer   "Swimmer (set 1)"
swimmera  "Swimmer (set 2)"
tmht2p    "TMHT (2 Players UK)"
tmnt2pj   "TMNT (2 Players Japanese)"
tmntj     "TMNT (4 Players Japanese)"
tmnt      "TMNT (4 Players USA)"
tnk3      "TNK3"
tacscan   "Tac/Scan"
tagteam   "Tag Team Wrestling"
karatedo  "Taisen Karate Dou (VS version)"
tankbatt  "Tank Battalion"
tapper    "Tapper (Budweiser)"
rbtapper  "Tapper (Root Beer)"
sutapper  "Tapper (Suntory)"
targ      "Targ"
tazmania  "Tazz-Mania"
tknight   "Tecmo Knight"
tws96     "Tecmo World Soccer 96"
teddybb   "TeddyBoy Blues"
teedoff   "Tee'd Off"
tehkanwc  "Tehkan World Cup"
tempest1  "Tempest (rev 1)"
tempest2  "Tempest (rev 2)"
tempest   "Tempest (rev 3)"
temptube  "Tempest Tubes"
dwj       "Tenchi o Kurau (Japan)"
wofj      "Tenchi o Kurau 2 (Japan)"
term2     "Terminator 2 (rev LA3 03/27/92)"
terracra  "Terra Cresta (YM2203)"
terracre  "Terra Cresta (YM3526)"
terraf    "Terra Force"
terrafu   "Terra Force (US)"
atetcktl  "Tetris (Cocktail set 1)"
atetckt2  "Tetris (Cocktail set 2)"
tetris    "Tetris (Sega)"
tetrisbl  "Tetris (Sega bootleg)"
atetrisb  "Tetris (bootleg)"
atetris   "Tetris (set 1)"
atetrisa  "Tetris (set 2)"
billiard  "The Billiards"
empire    "The Empire Strikes Back"
theend    "The End"
theglob   "The Glob (Pac Man hardware)"
kof94     "The King of Fighters '94"
kof95     "The King of Fighters '95"
kof96     "The King of Fighters '96"
kof97     "The King of Fighters '97"
legofair  "The Legend of Air Cavalry"
mainevt2  "The Main Event (version F)"
mainevt   "The Main Event (version Y)"
tnzs2     "The New Zealand Story 2"
tnzs      "The New Zealand Story"
thepit    "The Pit"
ghostb3   "The Real Ghostbusters (3 player)"
ghostb    "The Real Ghostbusters"
tinstar   "The Tin Star"
trally    "Thrash Rally"
3stooges  "Three Stooges"
3wonders  "Three Wonders (US)"
tigerhb1  "Tiger Heli (bootleg 1)"
tigerhb2  "Tiger Heli (bootleg 2)"
tigerh    "Tiger Heli (set 1)"
tigerh2   "Tiger Heli (set 2)"
tigeroad  "Tiger Road"
timber    "Timber"
timepltc  "Time Pilot (Centuri)"
tp84      "Time Pilot 84 (set 1)"
tp84a     "Time Pilot 84 (set 2)"
timeplt   "Time Pilot"
timscanr  "Time Scanner"
timetunl  "Time Tunnel"
tiptop    "Tip Top"
toki      "Toki (bootleg)"
tokisens  "Toki no Senshi"
tokiob    "Tokio / Scramble Formation (bootleg)"
tokio     "Tokio / Scramble Formation"
tomahawk  "Tomahawk 777 (Revision 1)"
tomahaw5  "Tomahawk 777 (Revision 5)"
toobin    "Toobin'"
topgunbl  "Top Gunner (bootleg)"
topgunr   "Top Gunner"
tophuntr  "Top Hunter"
tpgolf    "Top Player's Golf"
tornbase  "Tornado Baseball"
totcarnp  "Total Carnage (prototype, rev 1.0 01/25/92)"
totcarn   "Total Carnage (rev LA1 03/10/92)"
tdfeverj  "TouchDown Fever (Japanese)"
tdfever   "TouchDown Fever"
tturf     "Tough Turf"
tturfbl   "Tough Turf (bootleg)"
todruaga  "Tower of Druaga"
trackflc  "Track & Field (Centuri)"
trackfld  "Track & Field"
tranqgun  "Tranquilizer Gun"
travrusa  "Traverse USA"
treahunt  "Treasure Hunt"
triplep   "Triple Punch"
trogp     "Trog (prototype, rev 4.00 07/27/90)"
trog3     "Trog (rev LA3 02/14/91)"
trog      "Trog (rev LA4 03/11/91)"
trojanj   "Trojan (Japan)"
trojan    "Trojan (US)"
tron      "Tron (set 1)"
tron2     "Tron (set 2)"
troangel  "Tropical Angel"
truxton   "Truxton / Tatsujin"
tumblep   "Tumble Pop (bootleg set 1)"
tumblep2  "Tumble Pop (bootleg set 2)"
turboa    "Turbo (encrypted set 1)"
turbob    "Turbo (encrypted set 2)"
turbofrc  "Turbo Force"
turbo     "Turbo"
turpin    "Turpin"
turtship  "Turtle Ship"
turtles   "Turtles"
tutankhm  "Tutankham (Konami)"
tutankst  "Tutankham (Stern)"
twincobu  "Twin Cobra (Romstar)"
twincobr  "Twin Cobra (Taito)"
twinbee   "TwinBee"
twinspri  "Twinkle Star Sprites"
twotiger  "Two Tigers"
unsquad   "UN Squadron"
ufosensi  "Ufo Senshi Yohko Chan"
uniwars   "Uniwars"
upndown   "Up'n Down"
usvsthem  "Us vs. Them"
vangrdce  "Vanguard (Centuri)"
vanguard  "Vanguard (SNK)"
varthj    "Varth (Japan)"
varth     "Varth (World)"
vastar    "Vastar (set 1)"
vastar2   "Vastar (set 2)"
venture   "Venture (set 1)"
venture2  "Venture (set 2)"
venture4  "Venture (version 4)"
venus     "Venus"
victroad  "Victory Road"
hustler   "Video Hustler"
viewpoin  "Viewpoint"
vigilntj  "Vigilante (Japan)"
vigilant  "Vigilante (US)"
vimana    "Vimana (set 1)"
vimana2   "Vimana (set 2)"
vindictr  "Vindicators"
gowcaizr  "Voltage Fighter Gowcaizer"
vulgus    "Vulgus (set 1)"
vulgus2   "Vulgus (set 2)"
wacko     "Wacko"
wakuwak7  "Waku Waku 7"
wanted    "Wanted"
warofbug  "War of the Bugs"
wardnerj  "Wardna no Mori (Japan)"
wardner   "Wardner (World)"
warlord   "Warlords"
warpwarp  "Warp Warp (set 1)"
warpwar2  "Warp Warp (set 2)"
wof       "Warriors of Fate (World)"
waterski  "Water Ski"
wexpresb  "Western Express (bootleg)"
wexpress  "Western Express"
wwestern  "Wild Western"
willow    "Willow (Japan, English)"
willowj   "Willow (Japan, Japanese)"
wjammers  "Wind Jammers / Flying Power Disc"
wiz       "Wiz"
wow       "Wizard of Wor"
3wonderj  "Wonder 3 (Japan)"
wboyu     "Wonder Boy (not encrypted)"
wboy      "Wonder Boy (set 1)"
wboy2     "Wonder Boy (set 2)"
wboy3     "Wonder Boy (set 3)"
wboy4u    "Wonder Boy (set 4 not encrypted)"
wboy4     "Wonder Boy (set 4)"
wbdeluxe  "Wonder Boy Deluxe"
wb3       "Wonder Boy III - Monster Lair (set 1)"
wb3a      "Wonder Boy III - Monster Lair (set 2)"
wb3bl     "Wonder Boy III - Monster Lair (bootleg)"
wbml      "Wonder Boy in Monster Land"
wc90b     "World Cup 90 (bootleg)"
wc90      "World Cup 90"
worlhe2j  "World Heroes 2 Jet"
worlher2  "World Heroes 2"
whp       "World Heroes Perfect"
wheroes   "World Heroes"
wrestwar  "Wrestle War"
xsleena   "Xain'd Sleena"
xenophob  "Xenophobe"
xevios    "Xevios"
xeviousa  "Xevious (Atari)"
xevious   "Xevious (Namco)"
xybots    "Xybots"
yankeedo  "Yankee DO! (Two Bit Score)"
yiear     "Yie Ar Kung Fu"
zarzon    "Zarzon"
zaxxon    "Zaxxon"
zedblade  "Zed Blade / Operation Ragnarok"
zektor    "Zektor"
zerowing  "Zero Wing"
zerozone  "Zero Zone"
zigzag    "Zig Zag (set 1)"
zigzag2   "Zig Zag (set 2)"
zoar      "Zoar"
zookeep   "Zoo Keeper (set 1)"
zookeepa  "Zoo Keeper (set 2)"
zzyzzyxx  "Zzyzzyxx"
